lab,compound,sample_type,RT,sample,peak_area,note,c_real_M
L10,Metolachlor,cal,9.3,cal3,5077928,linear,3.62E-07
L10,Metolachlor,cal,9.3,cal4,3186813.667,linear,2.26E-07
L10,Metolachlor,cal,9.3,cal5,1179670,linear,7.26E-08
L10,Metolachlor,cal,9.3,cal6,117611,linear,7.23E-09
L10,Nigericin_NH4,cal,14.2,cal1,8863700.333,non-linear,3.47E-07
L10,Nigericin_NH4,cal,14.2,cal2,3291688.667,non-linear,1.87E-07
L10,Nigericin_NH4,cal,14.2,cal3,913822.3333,non-linear,9.15E-08
L10,Nigericin_NH4,cal,14.2,cal4,371900.6667,non-linear,4.20E-08
L10,Nigericin_NH4,cal,14.2,cal5,19807,non-linear,1.47E-08
L10,Octocrylene,cal,12.5,cal1,4211001.667,non-linear,2.30E-06
L10,Octocrylene,cal,12.5,cal2,1866589.333,non-linear,1.20E-06
L10,Octocrylene,cal,12.5,cal3,641360.6667,non-linear,7.12E-07
L10,Octocrylene,cal,12.5,cal4,374110,non-linear,3.34E-07
L10,Octocrylene,cal,12.5,cal5,42649.66667,non-linear,1.16E-07
L10,Octocrylene,cal,12.5,cal6,15392.66667,non-linear,2.89E-08
L10,Progesterone,cal,10.06,cal1,14519768.33,linear,1.24E-06
L10,Progesterone,cal,10.06,cal2,6532857.333,linear,6.17E-07
L10,Progesterone,cal,10.06,cal3,3385166.667,linear,3.29E-07
L10,Progesterone,cal,10.06,cal4,2086903.667,linear,2.00E-07
L10,Progesterone,cal,10.06,cal5,744745,linear,7.24E-08
L10,Progesterone,cal,10.06,cal6,69740.33333,non-linear,8.65E-09
L10,Rifaximin,cal,8.9,cal1,5679352,linear,4.90E-07
L10,Rifaximin,cal,8.9,cal2,2012964.667,linear,1.91E-07
L10,Rifaximin,cal,8.9,cal3,913534.3333,linear,8.71E-08
L10,Rifaximin,cal,8.9,cal4,462386,linear,4.48E-08
L10,Rifaximin,cal,8.9,cal5,136033.6667,non-linear,1.61E-08
L10,Simazine,cal,6.3,cal1,19800756.67,non-linear,2.29E-06
L10,Simazine,cal,6.3,cal2,9761690.333,non-linear,9.66E-07
L10,Simazine,cal,6.3,cal3,5129805,linear,4.95E-07
L10,Simazine,cal,6.3,cal4,3108666,linear,3.01E-07
L10,Simazine,cal,6.3,cal5,1090400.333,linear,9.47E-08
L10,Simazine,cal,6.3,cal6,102748,linear,9.45E-09
L10,Spinosad_A,cal,10.6,cal1,4514609.667,non-linear,2.15E-07
L10,Spinosad_A,cal,10.6,cal2,1232305,non-linear,1.07E-07
L10,Spinosad_A,cal,10.6,cal3,606434.6667,non-linear,5.49E-08
L10,Spinosad_A,cal,10.6,cal4,152544.3333,non-linear,2.66E-08
L10,Spinosad_A,cal,10.6,cal5,18257.33333,non-linear,8.48E-09
L10,Sucralose_Na,cal,4.55,cal1,1012457.333,non-linear,2.37E-06
L10,Sucralose_Na,cal,4.55,cal2,449378.6667,non-linear,1.07E-06
L10,Sucralose_Na,cal,4.55,cal3,228235,linear,4.81E-07
L10,Sucralose_Na,cal,4.55,cal4,136614.3333,linear,2.71E-07
L10,Sucralose_Na,cal,4.55,cal5,46895,linear,9.62E-08
L10,Sucralose_Na,cal,4.55,cal6,4725.666667,linear,1.28E-08
L10,Sucralose_NH4,cal,4.55,cal1,283147.3333,linear,2.37E-06
L10,Sucralose_NH4,cal,4.55,cal2,116220.6667,linear,1.07E-06
L10,Sucralose_NH4,cal,4.55,cal3,57332.33333,linear,4.81E-07
L10,Sucralose_NH4,cal,4.55,cal4,33817.66667,linear,2.71E-07
L10,Sucralose_NH4,cal,4.55,cal5,12151,linear,9.62E-08
L10,TCMTB,cal,8.15,cal1,2423055.667,non-linear,1.73E-06
L10,TCMTB,cal,8.15,cal2,1120398.667,linear,7.08E-07
L10,TCMTB,cal,8.15,cal3,604960,linear,3.96E-07
L10,TCMTB,cal,8.15,cal4,370315.6667,linear,2.49E-07
L10,TCMTB,cal,8.15,cal5,127888.6667,linear,7.96E-08
L10,TCMTB,cal,8.15,cal6,12115.66667,linear,7.64E-09
L10,Tetraethylammonium,cal,2.1,cal1,1575987.333,non-linear,1.13E-06
L10,Tetraethylammonium,cal,2.1,cal2,451301.3333,non-linear,6.22E-07
L10,Tetraethylammonium,cal,2.1,cal3,288452,non-linear,3.59E-07
L10,Tetrahexylammonium,cal,10.55,cal1,22416674.67,linear,7.52E-07
L10,Tetrahexylammonium,cal,10.55,cal2,11445691.67,linear,3.93E-07
L10,Tetrahexylammonium,cal,10.55,cal3,6624447.333,linear,2.17E-07
L10,Tetrahexylammonium,cal,10.55,cal4,3076188.667,linear,1.13E-07
L10,Tetrahexylammonium,cal,10.55,cal5,1008944.333,linear,3.31E-08
L10,Tetrahexylammonium,cal,10.55,cal6,18549,non-linear,3.02E-09
L10,Trichlorfon,cal,5,cal1,1759997,non-linear,1.76E-06
L10,Trichlorfon,cal,5,cal2,571336.3333,non-linear,7.54E-07
L10,Trichlorfon,cal,5,cal3,1011104.667,non-linear,3.95E-07
L10,Trichlorfon,cal,5,cal4,253335,non-linear,2.39E-07
L10,Trichlorfon,cal,5,cal5,210619.3333,non-linear,7.80E-08
L10,Tylosin,cal,7.06,cal1,602355.3333,linear,4.20E-07
L10,Tylosin,cal,7.06,cal2,227942.6667,linear,1.90E-07
L10,Tylosin,cal,7.06,cal3,106678.5,linear,1.01E-07
L10,Tylosin,cal,7.06,cal4,56453,non-linear,5.77E-08
L10,Uracil,cal,1.65,cal1,287784,non-linear,8.90E-06
L10,Uracil,cal,1.65,cal2,132606.6667,non-linear,3.61E-06
L10,Uracil,cal,1.65,cal3,71251.66667,linear,1.81E-06
L10,Uracil,cal,1.65,cal4,42775.66667,linear,1.09E-06
L10,Uracil,cal,1.65,cal5,14476.33333,linear,3.64E-07
L10,Vancomycin_H2,cal,3.7,cal1,45420.33333,non-linear,2.71E-07
L10,Vancomycin_H2,cal,3.7,cal2,22394,linear,1.22E-07
L10,Vancomycin_H2,cal,3.7,cal3,13529.66667,linear,6.19E-08
L10,Vancomycin_H2,cal,3.7,cal4,7723.333333,linear,3.79E-08
L11,Amitrole,cal,1.06,cal1,363951.3333,non-linear,6.25E-06
L11,Amitrole,cal,1.06,cal2,126328.3333,linear,2.58E-06
L11,Amitrole,cal,1.06,cal3,60179.66667,linear,1.34E-06
L11,Amitrole,cal,1.06,cal4,36426.33333,linear,7.78E-07
L11,Amitrole,cal,1.06,cal5,12590.33333,linear,2.35E-07
L11,Aspartame,cal,4.12,cal1,3507263.667,non-linear,1.72E-06
L11,Aspartame,cal,4.12,cal2,25228.33333,non-linear,7.04E-07
L11,Aspartame,cal,4.12,cal3,121213,non-linear,3.58E-07
L11,Aspartame,cal,4.12,cal4,12752,non-linear,2.13E-07
L11,Aspartame,cal,4.12,cal5,20449.66667,non-linear,7.22E-08
L11,Atrazine,cal,8.07,cal1,35319041.67,non-linear,1.93E-06
L11,Atrazine,cal,8.07,cal2,22416913,non-linear,8.29E-07
L11,Atrazine,cal,8.07,cal3,14181589,linear,4.24E-07
L11,Atrazine,cal,8.07,cal4,9120467.667,linear,2.48E-07
L11,Atrazine,cal,8.07,cal5,3013833.667,linear,8.51E-08
L11,Atrazine,cal,8.07,cal6,352341.6667,linear,8.73E-09
L11,Avermectin_B1a_NH4,cal,14.38,cal1,54319.33333,non-linear,1.35E-07
L11,Benzotriazole,cal,4.05,cal1,14174168,non-linear,3.90E-06
L11,Benzotriazole,cal,4.05,cal2,8614489.667,non-linear,1.65E-06
L11,Benzotriazole,cal,4.05,cal3,5148233.667,non-linear,8.47E-07
L11,Benzotriazole,cal,4.05,cal4,3315382,linear,5.02E-07
L11,Benzotriazole,cal,4.05,cal5,1126297.333,linear,1.60E-07
L11,Benzotriazole,cal,4.05,cal6,147182,linear,1.62E-08
L11,Butocarboxim_Na,cal,6.15,cal1,2840715.667,non-linear,NA
L11,Butocarboxim_Na,cal,6.15,cal2,1506416,non-linear,NA
L11,Butocarboxim_Na,cal,6.15,cal3,817134,non-linear,NA
L11,Butocarboxim_Na,cal,6.15,cal4,512305,non-linear,NA
L11,Butocarboxim_Na,cal,6.15,cal5,172915,non-linear,NA
L11,Butocarboxim_Na,cal,6.15,cal6,22590.66667,non-linear,NA
L11,Caffeine,cal,3.66,cal1,7156309,non-linear,3.06E-06
L11,Caffeine,cal,3.66,cal2,3401080,non-linear,1.24E-06
L11,Caffeine,cal,3.66,cal3,1684255.667,non-linear,5.79E-07
L11,Caffeine,cal,3.66,cal4,1006439,linear,3.34E-07
L11,Caffeine,cal,3.66,cal5,372840.3333,linear,1.02E-07
L11,Caffeine,cal,3.66,cal6,43914,linear,1.09E-08
L11,Carbamazepine,cal,7.12,cal1,16172997,non-linear,1.67E-06
L11,Carbamazepine,cal,7.12,cal2,11721752.67,non-linear,7.96E-07
L11,Carbamazepine,cal,7.12,cal3,8333249,non-linear,4.20E-07
L11,Carbamazepine,cal,7.12,cal4,6022705,non-linear,2.59E-07
L11,Carbamazepine,cal,7.12,cal5,2383976,linear,9.22E-08
L11,Carbamazepine,cal,7.12,cal6,279678.6667,linear,7.64E-09
L11,Cefoperazone,cal,5.14,cal1,880158.3333,non-linear,5.41E-07
L11,Cefoperazone,cal,5.14,cal2,244345.3333,linear,2.25E-07
L11,Cefoperazone,cal,5.14,cal3,136981.6667,linear,1.16E-07
L11,Cefoperazone,cal,5.14,cal4,72292.66667,linear,6.66E-08
L11,Cefoperazone,cal,5.14,cal5,30760.33333,linear,2.45E-08
L11,Cefoperazone,cal,5.14,cal6,2700,linear,3.26E-09
L11,Chlormequat,cal,1.01,cal1,16936146,non-linear,1.87E-06
L11,Chlormequat,cal,1.01,cal2,5633362,non-linear,1.11E-06
L11,Chlormequat,cal,1.01,cal3,2661558.333,non-linear,6.51E-07
L11,Chlormequat,cal,1.01,cal4,1422145.667,non-linear,4.30E-07
L11,Chlormequat,cal,1.01,cal5,416322.3333,non-linear,1.51E-07
L11,Chlormequat,cal,1.01,cal6,51774,non-linear,1.89E-08
L11,Chlorothiazide,cal,3.25,cal1,264641.6667,linear,1.53E-06
L11,Chlorothiazide,cal,3.25,cal2,118879.6667,linear,6.60E-07
L11,Chlorothiazide,cal,3.25,cal3,67370.33333,linear,3.46E-07
L11,Chlorothiazide,cal,3.25,cal4,42924.66667,linear,1.99E-07
L11,Chlorothiazide,cal,3.25,cal5,18605.66667,linear,6.90E-08
L11,Clarithromycin_H,cal,7.86,cal1,37432493.67,non-linear,5.08E-07
L11,Clarithromycin_H,cal,7.86,cal2,21550387.67,linear,2.50E-07
L11,Clarithromycin_H,cal,7.86,cal3,12357791.33,linear,1.34E-07
L11,Clarithromycin_H,cal,7.86,cal4,6614406.333,linear,7.98E-08
L11,Clarithromycin_H,cal,7.86,cal5,2086024.667,linear,2.48E-08
L11,Clarithromycin_H,cal,7.86,cal6,152099.3333,non-linear,2.79E-09
L11,Clarithromycin_Na,cal,7.86,cal1,323213,linear,5.08E-07
L11,Clarithromycin_Na,cal,7.86,cal2,128447.6667,linear,2.50E-07
L11,Clarithromycin_Na,cal,7.86,cal3,66919.33333,linear,1.34E-07
L11,Clarithromycin_Na,cal,7.86,cal4,42161.66667,linear,7.98E-08
L11,Clarithromycin_Na,cal,7.86,cal5,17477.66667,linear,2.48E-08
L11,Dichlorvos,cal,7.02,cal1,1357148.667,non-linear,2.18E-06
L11,Dichlorvos,cal,7.02,cal2,846724.6667,non-linear,8.80E-07
L11,Dichlorvos,cal,7.02,cal3,496325.6667,non-linear,4.38E-07
L11,Dichlorvos,cal,7.02,cal4,321463.3333,non-linear,2.72E-07
L11,Dichlorvos,cal,7.02,cal5,131559,linear,8.53E-08
L11,Dichlorvos,cal,7.02,cal6,12705.33333,linear,7.13E-09
L11,Dimethyl_phthalate,cal,7.35,cal1,2097570.667,non-linear,2.31E-06
L11,Dimethyl_phthalate,cal,7.35,cal2,1118201,linear,9.63E-07
L11,Dimethyl_phthalate,cal,7.35,cal3,567230,linear,5.04E-07
L11,Dimethyl_phthalate,cal,7.35,cal4,438023.3333,linear,3.09E-07
L11,Dimethyl_phthalate,cal,7.35,cal5,151505.3333,linear,8.73E-08
L11,Dimethyl_phthalate,cal,7.35,cal6,45395.66667,non-linear,1.00E-08
L11,Dimethyl_phthalate_H,cal,7.35,cal1,400507.6667,non-linear,2.31E-06
L11,Dimethyl_phthalate_H,cal,7.35,cal2,220396,linear,9.63E-07
L11,Dimethyl_phthalate_H,cal,7.35,cal3,103334.6667,linear,5.04E-07
L11,Dimethyl_phthalate_H,cal,7.35,cal4,80544.33333,linear,3.09E-07
L11,Dimethyl_phthalate_H,cal,7.35,cal5,26393.66667,linear,8.73E-08
L11,Diphenyl_phthalate,cal,12.04,cal1,1945911,linear,1.34E-06
L11,Diphenyl_phthalate,cal,12.04,cal2,953806,linear,6.44E-07
L11,Diphenyl_phthalate,cal,12.04,cal3,609176,linear,3.82E-07
L11,Diphenyl_phthalate,cal,12.04,cal4,345238,linear,2.07E-07
L11,Diphenyl_phthalate,cal,12.04,cal5,134621.3333,linear,7.88E-08
L11,Diphenyl_phthalate_H,cal,12.04,cal1,837990,non-linear,1.34E-06
L11,Diphenyl_phthalate_H,cal,12.04,cal2,418403.6667,linear,6.44E-07
L11,Diphenyl_phthalate_H,cal,12.04,cal3,260963,linear,3.82E-07
L11,Diphenyl_phthalate_H,cal,12.04,cal4,150266.3333,linear,2.07E-07
L11,Diphenyl_phthalate_H,cal,12.04,cal5,59796.66667,linear,7.88E-08
L11,Efavirenz,cal,10.7,cal1,248561,linear,1.33E-06
L11,Efavirenz,cal,10.7,cal2,104846.6667,linear,5.86E-07
L11,Efavirenz,cal,10.7,cal3,52862.33333,linear,3.13E-07
L11,Efavirenz,cal,10.7,cal4,37420.66667,linear,1.67E-07
L11,Efavirenz,cal,10.7,cal5,11693.66667,linear,7.13E-08
L11,Emamectin_B1a,cal,11.89,cal1,15741573.67,non-linear,2.04E-07
L11,Emamectin_B1a,cal,11.89,cal2,1491120.333,non-linear,9.73E-08
L11,Emamectin_B1a,cal,11.89,cal3,694747.6667,non-linear,4.87E-08
L11,Emamectin_B1a,cal,11.89,cal4,128559,non-linear,2.35E-08
L11,Guanylurea,cal,0.74,cal1,1224425.333,non-linear,1.25E-06
L11,Guanylurea,cal,0.74,cal2,853291,non-linear,5.45E-07
L11,Guanylurea,cal,0.74,cal3,499342.3333,linear,3.20E-07
L11,Guanylurea,cal,0.74,cal4,400027.6667,linear,1.82E-07
L11,Guanylurea,cal,0.74,cal5,144746.3333,linear,4.72E-08
L11,Haloperidol,cal,6.99,cal1,20356717,non-linear,5.96E-07
L11,Haloperidol,cal,6.99,cal2,13057410.67,non-linear,2.90E-07
L11,Haloperidol,cal,6.99,cal3,8468541,non-linear,1.49E-07
L11,Haloperidol,cal,6.99,cal4,5111626,non-linear,8.94E-08
L11,Haloperidol,cal,6.99,cal5,1792618,linear,2.62E-08
L11,Haloperidol,cal,6.99,cal6,224370.3333,linear,2.20E-09
L11,Histamine,cal,0.74,cal1,500457,non-linear,5.59E-06
L11,Imazalil,cal,7.29,cal1,28649137,non-linear,8.73E-07
L11,Imazalil,cal,7.29,cal2,17340135.33,non-linear,4.20E-07
L11,Imazalil,cal,7.29,cal3,9888568,non-linear,2.19E-07
L11,Imazalil,cal,7.29,cal4,5878524,linear,1.26E-07
L11,Imazalil,cal,7.29,cal5,1916439.333,linear,3.93E-08
L11,Imazalil,cal,7.29,cal6,222541,linear,3.32E-09
L11,L-phenylalanine,cal,2.08,cal1,7473976.333,linear,3.10E-06
L11,L-phenylalanine,cal,2.08,cal2,3024811,linear,1.23E-06
L11,L-phenylalanine,cal,2.08,cal3,1433729.667,linear,6.09E-07
L11,L-phenylalanine,cal,2.08,cal4,851916,linear,3.58E-07
L11,L-phenylalanine,cal,2.08,cal5,296908,linear,1.21E-07
L11,L-phenylalanine,cal,2.08,cal6,39883.33333,linear,1.38E-08
L11,Methamidophos,cal,1.69,cal1,8327341.333,non-linear,2.23E-06
L11,Methamidophos,cal,1.69,cal2,4416485.667,non-linear,9.91E-07
L11,Methamidophos,cal,1.69,cal3,2533186,non-linear,4.84E-07
L11,Methamidophos,cal,1.69,cal4,1617402,non-linear,2.92E-07
L11,Methamidophos,cal,1.69,cal5,630957.3333,linear,8.52E-08
L11,Methamidophos,cal,1.69,cal6,73986,linear,6.39E-09
L11,Metolachlor,cal,10.79,cal1,24196878,non-linear,1.45E-06
L11,Metolachlor,cal,10.79,cal2,13942020.67,non-linear,6.75E-07
L11,Metolachlor,cal,10.79,cal3,8025173.667,linear,3.62E-07
L11,Metolachlor,cal,10.79,cal4,4929846,linear,2.26E-07
L11,Metolachlor,cal,10.79,cal5,1707246,linear,7.26E-08
L11,Metolachlor,cal,10.79,cal6,204820.6667,linear,7.23E-09
L11,Progesterone,cal,11.96,cal1,3801079.667,linear,1.24E-06
L11,Progesterone,cal,11.96,cal2,1642638.667,linear,6.17E-07
L11,Progesterone,cal,11.96,cal3,885297.3333,linear,3.29E-07
L11,Progesterone,cal,11.96,cal4,545054.6667,linear,2.00E-07
L11,Progesterone,cal,11.96,cal5,181990,linear,7.24E-08
L11,Progesterone,cal,11.96,cal6,24465,linear,8.65E-09
L11,Rifaximin,cal,9.9,cal1,21947298,non-linear,4.90E-07
L11,Rifaximin,cal,9.9,cal2,8904842.333,linear,1.91E-07
L11,Rifaximin,cal,9.9,cal3,4769367,linear,8.71E-08
L11,Rifaximin,cal,9.9,cal4,2298181,linear,4.48E-08
L11,Rifaximin,cal,9.9,cal5,742112,linear,1.61E-08
L11,Saccharin,cal,2.74,cal1,6418.333333,non-linear,5.27E-06
L11,Simazine,cal,6.85,cal1,33330284,non-linear,2.29E-06
L11,Simazine,cal,6.85,cal2,20871123,non-linear,9.66E-07
L11,Simazine,cal,6.85,cal3,12860141.67,non-linear,4.95E-07
L11,Simazine,cal,6.85,cal4,8173829.333,linear,3.01E-07
L11,Simazine,cal,6.85,cal5,2734597.333,linear,9.47E-08
L11,Simazine,cal,6.85,cal6,318311.6667,linear,9.45E-09
L11,Spinosad_A,cal,10.5,cal1,13793025,non-linear,2.15E-07
L11,Spinosad_A,cal,10.5,cal2,3245204.667,non-linear,1.07E-07
L11,Spinosad_A,cal,10.5,cal3,1435810.667,non-linear,5.49E-08
L11,Spinosad_A,cal,10.5,cal4,217892.3333,non-linear,2.66E-08
L11,Spinosad_A,cal,10.5,cal5,80221,non-linear,8.48E-09
L11,Sucralose_Na,cal,4.06,cal1,1277945.667,non-linear,2.37E-06
L11,Sucralose_Na,cal,4.06,cal2,719867,non-linear,1.07E-06
L11,Sucralose_Na,cal,4.06,cal3,418750.6667,non-linear,4.81E-07
L11,Sucralose_Na,cal,4.06,cal4,277470.3333,non-linear,2.71E-07
L11,Sucralose_Na,cal,4.06,cal5,108767.3333,linear,9.62E-08
L11,Sucralose_Na,cal,4.06,cal6,17346,linear,1.28E-08
L11,Sucralose_NH4,cal,4.06,cal1,262919.3333,non-linear,2.37E-06
L11,Sucralose_NH4,cal,4.06,cal2,137116.3333,non-linear,1.07E-06
L11,Sucralose_NH4,cal,4.06,cal3,80673.33333,non-linear,4.81E-07
L11,Sucralose_NH4,cal,4.06,cal4,49648,linear,2.71E-07
L11,Sucralose_NH4,cal,4.06,cal5,20464,linear,9.62E-08
L11,TCMTB,cal,10.13,cal1,660118.3333,non-linear,1.73E-06
L11,TCMTB,cal,10.13,cal2,282053.6667,linear,7.08E-07
L11,TCMTB,cal,10.13,cal3,153121,linear,3.96E-07
L11,TCMTB,cal,10.13,cal4,91503.33333,linear,2.49E-07
L11,TCMTB,cal,10.13,cal5,34286.33333,linear,7.96E-08
L11,TCMTB,cal,10.13,cal6,4356.666667,linear,7.64E-09
L11,Tetraethylammonium,cal,1.12,cal1,14882401.33,non-linear,1.13E-06
L11,Tetraethylammonium,cal,1.12,cal2,4701227,non-linear,6.22E-07
L11,Tetraethylammonium,cal,1.12,cal3,2247009.333,non-linear,3.59E-07
L11,Tetraethylammonium,cal,1.12,cal4,1159447.667,non-linear,2.41E-07
L11,Tetraethylammonium,cal,1.12,cal5,406567.6667,non-linear,9.90E-08
L11,Tetraethylammonium,cal,1.12,cal6,76427.33333,non-linear,1.76E-08
L11,Tetrahexylammonium,cal,14.43,cal1,49783436,linear,7.52E-07
L11,Tetrahexylammonium,cal,14.43,cal2,26908868,linear,3.93E-07
L11,Tetrahexylammonium,cal,14.43,cal3,18188177.33,linear,2.17E-07
L11,Tetrahexylammonium,cal,14.43,cal4,6761587.667,linear,1.13E-07
L11,Tetrahexylammonium,cal,14.43,cal5,2165927,linear,3.31E-08
L11,Tetrahexylammonium,cal,14.43,cal6,74368.33333,non-linear,3.02E-09
L11,Trichlorfon,cal,4.63,cal1,2074363,non-linear,1.76E-06
L11,Trichlorfon,cal,4.63,cal3,74143,non-linear,3.95E-07
L11,Trichlorfon,cal,4.63,cal5,10527.66667,non-linear,7.80E-08
L11,Tylosin,cal,7.04,cal1,20274377.67,linear,4.20E-07
L11,Tylosin,cal,7.04,cal2,8939091.333,linear,1.90E-07
L11,Tylosin,cal,7.04,cal3,4411842,linear,1.01E-07
L11,Tylosin,cal,7.04,cal4,2451454.333,linear,5.77E-08
L11,Tylosin,cal,7.04,cal5,686851,non-linear,1.93E-08
L11,Uracil,cal,1.05,cal1,1068216.333,linear,8.90E-06
L11,Uracil,cal,1.05,cal2,288770.3333,linear,3.61E-06
L11,Uracil,cal,1.05,cal3,163429.3333,linear,1.81E-06
L11,Uracil,cal,1.05,cal4,108493,linear,1.09E-06
L11,Uracil,cal,1.05,cal5,39041,linear,3.64E-07
L11,Uracil,cal,1.05,cal6,4475.666667,non-linear,9.12E-08
L11,Vancomycin_H,cal,2.9,cal1,33228.66667,linear,2.71E-07
L11,Vancomycin_H,cal,2.9,cal2,16746,linear,1.22E-07
L11,Vancomycin_H,cal,2.9,cal3,7357.333333,linear,6.19E-08
L11,Vancomycin_H,cal,2.9,cal4,4327.333333,linear,3.79E-08
L11,Vancomycin_H2,cal,2.9,cal1,25866.33333,non-linear,2.71E-07
L11,Vancomycin_H2,cal,2.9,cal2,12422.66667,non-linear,1.22E-07
L12,Amitrole,cal,0.74,cal1,43917697,non-linear,6.25E-06
L12,Amitrole,cal,0.74,cal2,38704499,non-linear,2.58E-06
L12,Amitrole,cal,0.74,cal3,23372284,linear,1.34E-06
L12,Amitrole,cal,0.74,cal4,13783771,linear,7.78E-07
L12,Amitrole,cal,0.74,cal5,3763425,linear,2.35E-07
L12,Amitrole,cal,0.74,cal6,653944,non-linear,2.02E-08
L12,Aspartame,cal,4.36,cal1,38704499,non-linear,1.72E-06
L12,Aspartame,cal,4.36,cal2,1839652457,non-linear,7.04E-07
L12,Aspartame,cal,4.36,cal3,77687364,non-linear,3.58E-07
L12,Aspartame,cal,4.36,cal4,8782516,non-linear,2.13E-07
L12,Aspartame,cal,4.36,cal5,10086922,non-linear,7.22E-08
L12,Aspartame,cal,4.36,cal6,304254,non-linear,7.59E-09
L12,Atrazine,cal,7.6,cal1,1839652457,non-linear,1.93E-06
L12,Atrazine,cal,7.6,cal3,1011200076,non-linear,4.24E-07
L12,Atrazine,cal,7.6,cal4,659657224,linear,2.48E-07
L12,Atrazine,cal,7.6,cal5,236999037,linear,8.51E-08
L12,Atrazine,cal,7.6,cal6,27507032,linear,8.73E-09
L12,Avermectin_B1a_NH4,cal,NA,cal2,1350036747,non-linear,7.02E-08
L12,Benzotriazole,cal,4.73,cal1,1350036747,non-linear,3.90E-06
L12,Benzotriazole,cal,4.73,cal2,1135079,non-linear,1.65E-06
L12,Benzotriazole,cal,4.73,cal3,691782943,non-linear,8.47E-07
L12,Benzotriazole,cal,4.73,cal4,415975552,linear,5.02E-07
L12,Benzotriazole,cal,4.73,cal5,141470012,linear,1.60E-07
L12,Benzotriazole,cal,4.73,cal6,16498287,linear,1.62E-08
L12,Butocarboxim_H,cal,6.14,cal1,1135079,non-linear,1.98E-06
L12,Butocarboxim_H,cal,6.14,cal2,1744239,non-linear,1.00E-06
L12,Butocarboxim_H,cal,6.14,cal3,473928,non-linear,5.01E-07
L12,Butocarboxim_H,cal,6.14,cal4,159234,non-linear,2.92E-07
L12,Butocarboxim_NH4,cal,6.13,cal1,1744239,non-linear,1.98E-06
L12,Butocarboxim_NH4,cal,6.13,cal2,494757108,non-linear,1.00E-06
L12,Butocarboxim_NH4,cal,6.13,cal3,760373,non-linear,5.01E-07
L12,Butocarboxim_NH4,cal,6.13,cal4,344549,non-linear,2.92E-07
L12,Caffeine,cal,3.6,cal1,1543157042,non-linear,3.06E-06
L12,Caffeine,cal,3.6,cal2,730354244,non-linear,1.24E-06
L12,Caffeine,cal,3.6,cal3,423847020,non-linear,5.79E-07
L12,Caffeine,cal,3.6,cal4,284842473,non-linear,3.34E-07
L12,Caffeine,cal,3.6,cal5,110047212,linear,1.02E-07
L12,Caffeine,cal,3.6,cal6,16045222,linear,1.09E-08
L12,Carbamazepine,cal,6.48,cal1,9552046,linear,1.67E-06
L12,Carbamazepine,cal,6.48,cal2,3759873,linear,7.96E-07
L12,Carbamazepine,cal,6.48,cal3,2011347,linear,4.20E-07
L12,Carbamazepine,cal,6.48,cal4,970819,non-linear,2.59E-07
L12,Carbamazepine,cal,6.48,cal5,217516,non-linear,9.22E-08
L12,Cefoperazone,cal,4.56,cal1,870903892,linear,5.41E-07
L12,Cefoperazone,cal,4.56,cal2,262433363,linear,2.25E-07
L12,Cefoperazone,cal,4.56,cal3,180629510,linear,1.16E-07
L12,Cefoperazone,cal,4.56,cal4,61216054,linear,6.66E-08
L12,Cefoperazone,cal,4.56,cal5,25611174,linear,2.45E-08
L12,Cefoperazone,cal,4.56,cal6,1581464,non-linear,3.26E-09
L12,Chlormequat,cal,0.67,cal1,44402050,non-linear,1.87E-06
L12,Chlormequat,cal,0.67,cal2,23301762,non-linear,1.11E-06
L12,Chlormequat,cal,0.67,cal3,12156015,non-linear,6.51E-07
L12,Chlormequat,cal,0.67,cal4,6857284,non-linear,4.30E-07
L12,Chlormequat,cal,0.67,cal5,2105320,non-linear,1.51E-07
L12,Chlormequat,cal,0.67,cal6,169632,non-linear,1.89E-08
L12,Chlorothiazide,cal,2.16,cal1,159441620,non-linear,1.53E-06
L12,Chlorothiazide,cal,2.16,cal2,96450404,non-linear,6.60E-07
L12,Chlorothiazide,cal,2.16,cal3,35604738,non-linear,3.46E-07
L12,Chlorothiazide,cal,2.16,cal4,17789164,non-linear,1.99E-07
L12,Chlorothiazide,cal,2.16,cal5,4257742,non-linear,6.90E-08
L12,Chlorothiazide,cal,2.16,cal6,177099,non-linear,9.18E-09
L12,Clarithromycin_H,cal,6.59,cal1,571271,linear,5.08E-07
L12,Clarithromycin_H,cal,6.59,cal2,295504,linear,2.50E-07
L12,Clarithromycin_H,cal,6.59,cal3,184411,linear,1.34E-07
L12,Clarithromycin_Na,cal,6.61,cal1,2214877431,linear,5.08E-07
L12,Clarithromycin_Na,cal,6.61,cal2,1028630130,linear,2.50E-07
L12,Clarithromycin_Na,cal,6.61,cal3,446146171,linear,1.34E-07
L12,Clarithromycin_Na,cal,6.61,cal4,353876021,linear,7.98E-08
L12,Clarithromycin_Na,cal,6.61,cal5,102883658,linear,2.48E-08
L12,Clarithromycin_Na,cal,6.61,cal6,12845884,linear,2.79E-09
L12,Dichlorvos,cal,6.06,cal1,2925531247,non-linear,2.18E-06
L12,Dichlorvos,cal,6.06,cal2,1298803682,non-linear,8.80E-07
L12,Dichlorvos,cal,6.06,cal3,702026972,non-linear,4.38E-07
L12,Dichlorvos,cal,6.06,cal4,447434209,non-linear,2.72E-07
L12,Dichlorvos,cal,6.06,cal5,157852800,linear,8.53E-08
